ParticleID,NumberofFramesPresent,Label,Intensity,X_COM,Y_COM,X_COM(rounded),Y_COM(rounded),Slice
3,1,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:257,27035,340.7535677,518.2471021,341,518,257
3,2,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:258,27212,365.7533152,520.6209099,366,521,258
3,3,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:259,27145,389.5007389,521.8732337,390,522,259
3,4,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:260,27135,413.5004965,524.1255474,414,524,260
3,5,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:261,27447,435.1264463,526.2470213,435,526,261
3,6,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:262,27231,458.9953641,527.4993451,459,527,262
3,7,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:263,27656,480.2474859,528.873163,480,529,263
3,8,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:264,28273,502.2472637,532.0039725,502,532,264
3,9,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:265,27993,521.4994057,533.3777904,521,533,265
3,10,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:266,28813,543.1253555,536.7515881,543,537,266
3,11,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:267,29117,562.7513255,540.0038917,563,540,267
3,12,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:268,29046,582.4987896,542.3776995,582,542,268
3,13,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:269,29180,602.1247596,543.8730115,602,544,269
3,14,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:270,28727,620.4984058,547.751477,620,548,270
3,15,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:271,28939,639.6664365,551.1626575,640,551,271
3,16,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:272,28659,658.6662446,554.1626272,659,554,272
3,17,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:273,28623,675.1707508,558.499032,675,558,273
3,18,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:274,28754,693.4976685,561.1625565,693,561,274
3,19,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:277,27785,745.2541551,572.4988906,745,572,277
3,20,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:278,28236,761.7493156,575.2465264,762,575,278
3,21,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:279,27736,779.4967999,579.0034978,779,579,279
3,22,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:280,27846,793.2536703,582.7511235,793,583,280
3,23,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:281,27812,809.7488308,586.2464153,810,586,281
3,24,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:282,27465,824.4963454,590.4987088,824,590,282
3,25,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:283,27410,839.7485278,594.0033463,840,594,283
3,26,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:284,27243,854.4960424,597.2463042,854,597,284
4,1,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:469,27681,373.7532344,846.253135,374,846,469
4,2,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:470,27679,397.752992,855.4960323,398,855,470
4,3,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:471,27774,421.5004157,862.7482955,422,863,471
4,4,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:472,28193,446.2478293,872.0005385,446,872,472
4,5,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:473,28355,468.3317184,881.4957697,468,881,473
4,6,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:474,28083,490.836164,890.1685793,491,890,474
4,7,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:475,28691,514.0041543,899.6638105,514,900,475
4,8,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:476,28284,535.8357095,909.0001648,536,909,476
4,9,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:477,28170,558.499032,917.6636287,558,918,477
4,10,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:478,28189,578.49883,928.9999628,578,929,478
4,11,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:479,28985,598.8350732,936.999882,599,937,479
4,12,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:480,28842,619.4984159,947.3362262,619,947,480
4,13,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:481,28939,640.1711043,956.6632348,640,957,481
4,14,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:482,28811,658.8344672,967.1678016,659,967,482
4,15,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:483,28373,677.002508,977.5041458,677,978,483
4,16,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:484,28585,695.6658709,989.335802,696,989,484
4,17,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:485,28725,713.6656891,1002.167448,714,1002,485
4,18,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:486,28341,732.329052,1014.33555,732,1014,486
4,19,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:487,28561,750.1699933,1026.335428,750,1026,487
4,20,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:488,28692,767.8333663,1039.167074,768,1039,488
4,21,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:489,28072,784.0014273,1051.503398,784,1052,489
4,22,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:490,27519,800.4965878,1063.830377,800,1064,490
4,23,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:491,27732,815.4964363,1077.503136,815,1078,491
4,24,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:492,27375,830.6645074,1091.334772,831,1091,492
4,25,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:493,27318,845.8325785,1105.998175,846,1106,493
4,26,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:494,27773,861.3370948,1120.913912,861,1121,494
4,27,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:495,27796,875.4958303,1134.913771,875,1135,495
4,28,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:496,27855,890.6639014,1149.829508,891,1150,496
4,29,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:497,28397,903.8787212,1164.754591,904,1165,497
4,30,xslot_HCC1954_01_500uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:498,27959,918.121568,1180.997418,918,1181,498
