 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
1,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:326,0,36366,0,36366,36366,36366,53.75,748,1.128,1.128,0,36366,36366,36366,326,1
2,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:327,0,36612,0,36612,36612,36612,89.5,751.5,1.128,1.128,0,36612,36612,36612,327,1
3,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:328,0,36783,0,36783,36783,36783,122.75,752,1.128,1.128,0,36783,36783,36783,328,1
4,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:329,0,37245,0,37245,37245,37245,155,755.25,1.128,1.128,0,37245,37245,37245,329,1
5,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:332,0,36915,0,36915,36915,36915,241,763.75,1.128,1.128,0,36915,36915,36915,332,1
6,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:333,0,36520,0,36520,36520,36520,267.5,767.5,1.128,1.128,0,36520,36520,36520,333,1
7,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:334,0,36399,0,36399,36399,36399,293.5,770.25,1.128,1.128,0,36399,36399,36399,334,1
8,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:335,0,36240,0,36240,36240,36240,317,773.25,1.128,1.128,0,36240,36240,36240,335,1
9,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:336,0,36817,0,36817,36817,36817,339.5,778,1.128,1.128,0,36817,36817,36817,336,1
10,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:363,0,36172,0,36172,36172,36172,683.5,1031.5,1.128,1.128,0,36172,36172,36172,363,1
11,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:364,0,36854,0,36854,36854,36854,688.5,1048.5,1.128,1.128,0,36854,36854,36854,364,1
12,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:365,0,36549,0,36549,36549,36549,693.833,1069.5,1.128,1.128,0,36549,36549,36549,365,1
13,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:366,0,36003,0,36003,36003,36003,699.833,1088.5,1.128,1.128,0,36003,36003,36003,366,1
14,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:367,0,36174,0,36174,36174,36174,702.833,1107.833,1.128,1.128,0,36174,36174,36174,367,1
15,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:368,0,36307,0,36307,36307,36307,706.167,1129.5,1.128,1.128,0,36307,36307,36307,368,1
16,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:369,0,36125,0,36125,36125,36125,708.167,1154.833,1.128,1.128,0,36125,36125,36125,369,1
17,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:370,0,35744,0,35744,35744,35744,713.167,1177.167,1.128,1.128,0,35744,35744,35744,370,1
1,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:473,0,37390,0,37390,37390,37390,118.167,653.833,1.128,1.128,0,37390,37390,37390,473,2
2,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:474,0,37667,0,37667,37667,37667,149.5,652.167,1.128,1.128,0,37667,37667,37667,474,2
3,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:475,0,37513,0,37513,37513,37513,179.5,649.833,1.128,1.128,0,37513,37513,37513,475,2
4,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:476,0,37628,0,37628,37628,37628,207.5,646.5,1.128,1.128,0,37628,37628,37628,476,2
5,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:477,0,37418,0,37418,37418,37418,235.833,643.833,1.128,1.128,0,37418,37418,37418,477,2
6,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:478,0,37408,0,37408,37408,37408,260.833,639.833,1.128,1.128,0,37408,37408,37408,478,2
7,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:479,0,37533,0,37533,37533,37533,286.167,636.833,1.128,1.128,0,37533,37533,37533,479,2
8,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:480,0,37590,0,37590,37590,37590,309.833,634.5,1.128,1.128,0,37590,37590,37590,480,2
9,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:481,0,36584,0,36584,36584,36584,331.25,631.25,1.128,1.128,0,36584,36584,36584,481,2
10,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:482,0,37872,0,37872,37872,37872,352.75,628,1.128,1.128,0,37872,37872,37872,482,2
11,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:483,0,37491,0,37491,37491,37491,375,625,1.128,1.128,0,37491,37491,37491,483,2
12,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:484,0,38069,0,38069,38069,38069,393.25,623,1.128,1.128,0,38069,38069,38069,484,2
13,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:485,0,39197,0,39197,39197,39197,413.25,620.25,1.128,1.128,0,39197,39197,39197,485,2
14,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:486,0,38632,0,38632,38632,38632,430,618.25,1.128,1.128,0,38632,38632,38632,486,2
15,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:487,0,39708,0,39708,39708,39708,446.75,614.75,1.128,1.128,0,39708,39708,39708,487,2
16,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:488,0,40512,0,40512,40512,40512,462.75,610.5,1.128,1.128,0,40512,40512,40512,488,2
17,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:489,0,39902,0,39902,39902,39902,477,607,1.128,1.128,0,39902,39902,39902,489,2
18,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:490,0,40098,0,40098,40098,40098,493,602,1.128,1.128,0,40098,40098,40098,490,2
19,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:491,0,40571,0,40571,40571,40571,505.75,599.5,1.128,1.128,0,40571,40571,40571,491,2
20,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:492,0,40702,0,40702,40702,40702,518.25,595.75,1.128,1.128,0,40702,40702,40702,492,2
21,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:493,0,40533,0,40533,40533,40533,533.25,591.5,1.128,1.128,0,40533,40533,40533,493,2
22,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:494,0,40343,0,40343,40343,40343,545.75,587.75,1.128,1.128,0,40343,40343,40343,494,2
23,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:495,0,41956,0,41956,41956,41956,554.5,583,1.128,1.128,0,41956,41956,41956,495,2
24,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:496,0,42468,0,42468,42468,42468,567,578.5,1.128,1.128,0,42468,42468,42468,496,2
25,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:497,0,42459,0,42459,42459,42459,577,573,1.128,1.128,0,42459,42459,42459,497,2
26,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:498,0,42181,0,42181,42181,42181,586.75,568,1.128,1.128,0,42181,42181,42181,498,2
27,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:499,0,42039,0,42039,42039,42039,597,562.333,1.128,1.128,0,42039,42039,42039,499,2
28,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:500,0,41491,0,41491,41491,41491,607.167,558,1.128,1.128,0,41491,41491,41491,500,2
1,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:238,0,35272,0,35272,35272,35272,19.833,1125.5,1.128,1.128,0,35272,35272,35272,238,3
2,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:239,0,36504,0,36504,36504,36504,60.167,1147.5,1.128,1.128,0,36504,36504,36504,239,3
3,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:240,0,36025,0,36025,36025,36025,101.5,1169.5,1.128,1.128,0,36025,36025,36025,240,3
4,xslot_HCC1954_PT03_xp4_1500uLhr_z35um_mov_adjSP_9_MMStack_Pos0.ome.tif:241,0,37409,0,37409,37409,37409,138.167,1190.167,1.128,1.128,0,37409,37409,37409,241,3
